Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Sk,Rush Att,Rush Yds,Rush TD,FGM,FGA,Def TD,Opp Pass Cmp,Opp Pass Att,Opp Pass Yds,Opp Pass TD,Opp Int,Opp Sk,Opp Rush Att,Opp Rush Yds,Opp Rush TD,Opp FGM,Opp FGA,Opp Def TD
31,47,410,3,1,1,20,86,1,2,2,0,22,39,236,2,1,0,39,192,2,0,0,0
5,12,49,1,1,1,39,226,1,2,3,1,26,45,284,2,2,1,19,81,0,1,1,0
19,34,193,3,1,4,27,119,1,1,1,0,18,38,124,1,1,4,29,151,1,0,0,0
15,22,136,1,0,3,26,113,0,3,3,0,18,34,159,1,0,3,34,133,0,1,2,0
29,50,293,1,1,2,21,105,0,2,2,0,21,26,212,3,0,2,34,126,0,3,3,0
19,30,206,2,1,1,26,75,0,3,3,1,22,38,189,0,0,3,25,107,1,3,3,0
16,27,196,2,2,1,42,183,2,1,1,0,13,24,126,0,0,6,24,102,2,1,1,1
28,37,203,1,0,3,30,125,1,3,3,0,19,36,178,0,3,1,24,124,0,2,2,0
23,32,117,0,1,4,42,201,1,2,2,0,16,25,133,0,0,3,17,35,1,4,5,0
23,31,250,3,0,3,25,96,1,1,1,0,28,40,211,2,0,1,26,143,2,1,1,0
19,32,213,1,0,3,23,62,0,2,2,0,18,24,235,1,0,0,32,162,3,1,1,0
13,27,151,0,0,2,31,61,0,3,3,0,26,48,184,0,1,4,21,118,0,0,1,0
26,39,255,1,0,3,28,115,0,1,2,0,12,24,61,2,1,4,33,132,0,1,1,0
20,30,147,1,0,0,24,89,1,0,1,0,25,38,230,1,1,2,25,98,0,3,3,0
20,26,281,1,1,3,41,238,2,2,2,0,20,31,174,0,0,2,21,63,2,1,1,0
21,29,209,2,1,4,29,123,0,2,2,0,17,31,134,0,1,3,19,80,1,1,1,0
22,30,188,1,0,4,24,90,1,2,2,0,26,35,306,1,2,2,21,83,1,1,1,0
18,28,220,2,0,2,33,126,0,2,3,0,27,43,245,1,0,0,21,133,1,1,3,0
21,36,189,2,4,5,25,219,1,1,1,0,24,34,202,3,0,0,24,109,0,1,1,0
18,24,207,1,0,3,18,47,1,2,2,0,25,35,208,1,1,0,33,130,0,3,3,0
22,45,206,0,1,7,15,67,0,2,2,0,18,31,232,1,0,0,31,159,2,4,4,0
37,46,498,4,0,3,21,77,1,2,3,0,28,40,295,2,1,1,16,39,1,0,0,0
30,42,389,5,0,3,28,108,1,0,0,2,15,32,172,2,2,5,20,85,0,0,0,0
21,27,248,2,0,1,36,189,2,2,3,1,27,35,328,1,2,1,21,89,2,3,3,0
23,30,254,3,0,2,35,127,1,3,4,0,28,43,173,1,1,2,25,130,0,1,2,0
27,38,295,1,1,3,22,66,1,3,3,0,21,37,197,1,3,0,33,159,1,3,3,1
30,47,314,3,0,0,28,114,1,2,2,0,14,32,139,0,2,1,27,149,3,0,0,0
26,39,252,0,0,1,31,132,1,3,3,1,14,22,100,1,0,1,36,273,1,2,2,1
23,44,108,1,2,2,27,84,0,1,1,0,17,29,194,2,0,1,30,130,1,2,3,1
15,22,140,0,0,2,16,18,1,2,3,0,20,25,182,1,1,2,40,160,1,1,1,0
24,35,229,1,0,4,30,88,2,1,1,0,16,27,161,2,0,2,24,170,1,1,2,0
19,26,173,1,1,3,30,86,0,2,3,1,12,20,81,0,2,8,23,83,0,1,1,0
13,23,169,0,0,5,22,96,1,2,2,0,11,26,118,0,3,1,44,233,4,0,0,0
18,36,162,1,2,2,27,87,2,2,2,0,4,11,-6,0,2,4,40,161,0,1,1,0
30,40,415,4,0,4,19,60,0,2,2,0,26,35,259,2,0,0,23,155,2,1,1,0
16,27,140,1,0,1,26,122,1,2,2,0,24,32,241,1,2,2,27,85,1,3,3,0
27,39,272,2,0,1,32,127,0,4,4,0,25,39,256,3,0,1,17,45,0,0,1,0
31,42,307,2,0,0,32,174,2,3,3,0,24,39,179,1,0,2,11,27,0,1,1,0
17,26,90,0,1,7,26,88,1,1,2,0,17,28,207,1,0,2,28,73,0,4,4,0
17,27,173,1,3,2,17,80,0,1,1,0,25,34,290,3,0,0,36,181,4,1,1,0
19,33,224,1,0,1,26,150,2,1,1,0,34,50,405,3,1,1,21,62,0,2,2,0
18,39,182,0,1,4,16,74,0,1,2,0,13,18,110,2,0,1,40,198,2,2,2,0
